source,target,lag
CXCL6,ZNF423,2
DDB1,KCNH7,2
DDB1,NR2E1,2
DENND5B,ATP9A,2
DENND5B,VNN1,2
FAM167B,ADAMDEC1,2
FAM167B,ADGRG3,2
FAM167B,CLTCL1,2
FAM167B,CSGALNACT1,2
FAM167B,IRF7,2
FAM167B,KCNH7,2
FAM167B,PLCD3,2
FAM185A,COL11A1,2
FAM185A,DHX58,2
FAM185A,FOSB,2
FAM185A,GBP7,2
FAM185A,IRF7,2
FAM185A,LGALS3BP,2
FAM185A,SLC16A1,2
FGFBP2,CLC,2
FGFBP2,DENND5B,2
FGFBP2,DLG5,2
FGFBP2,LGALS3BP,2
GBP3,PCDH1,2
GBP3,RORA,2
GBP7,CCR4,2
GLI1,CSGALNACT1,2
GPR15,ADAMDEC1,2
GPR15,AHDC1,2
GPR15,LAPTM4B,2
GPR15,LEPR,2
GPR15,SPP1,2
IGHM,FAM216B,2
IGHM,IFI27,2
IGHM,IFI6,2
IGHM,ISG15,2
IGHM,MMP1,2
IGHM,OASL,2
IGHM,RIGI,2
IGHM,SIGLEC1,2
IGHM,TRIM14,2
KCNH7,RORA,2
LANCL3,MARCO,2
LANCL3,PRSS33,2
LGALS3BP,FAM167B,2
NBL1,ALPL,2
NBL1,CCR4,2
NBL1,FBLN2,2
NBL1,IL18RAP,2
NBL1,MMP10,2
NBL1,OLFM4,2
NBL1,PDZD4,2
NBL1,S100A8,2
NBL1,TRPM2,2
NGFR,CDKN1C,2
NR6A1,ANPEP,2
NR6A1,JCHAIN,2
NR6A1,LGALS3BP,2
NR6A1,RNF213,2
NR6A1,SIGLEC1,2
NR6A1,TMPRSS2,2
NTRK1,ZNF423,2
ORM1,ALPL,2
PAK3,ADGRG3,2
PAK3,CCR3,2
PAK3,CSGALNACT1,2
PAK3,EPX,2
PAK3,IL18R1,2
PAK3,PDZD4,2
PLCD3,FAM167B,2
RNU6-1188P,ALPL,2
RNU6-1188P,BCL2L14,2
RORA,ALPL,2
RORA,APOL2,2
RORA,ARHGEF10,2
RORA,FADS3,2
RORA,LYPD8,2
RORA,MCEMP1,2
RORA,MT-ND2,2
RORA,NR2E1,2
RORA,PAK3,2
RORA,S100A8,2
RORA,SPP1,2
RORA,TP53I11,2
RORA,YEATS4,2
SIK1,NTRK1,2
SIK1,SPDYA,2
SPDYA,CLTCL1,2
SPDYA,PAK3,2
SPP1,CABLES2,2
SPP1,DENND5B,2
TRDC,CLNK,2
TRDC,IFI44,2
TRDC,RSAD2,2
U3,COL11A1,2
USP18,BMX,2
USP18,IGHM,2
USP18,Metazoa_SRP,2
USP18,ORM1,2
YEATS4,GPR15,2
ZFPM2,FBXO39,2
