source,target,lag,count_runs,freq
CABLES2,KCNMA1,1,3,0.3
GPR15,LAPTM4B,2,3,0.3
RNF213,TRIM6,0,3,0.3
IL18R1,CRISPLD2,0,3,0.3
MT-ND2,ADAMDEC1,0,3,0.3
CABLES2,DDB1,1,3,0.3
FBXO39,TP53I11,1,3,0.3
IGHM,MMP1,2,3,0.3
DENND5B,GPR15,0,3,0.3
S100A8,PLAU,0,3,0.3
ARHGEF10,BMX,2,3,0.3
MX2,DDX60,0,3,0.3
CXCL6,PGLYRP1,2,3,0.3
ARHGEF10,ADAMTS14,1,3,0.3
IL2RA,CST7,1,3,0.3
IRF7,GBP7,0,3,0.3
OAS3,RNF213,0,3,0.3
AHDC1,MMP10,1,3,0.3
FAM185A,VNN2,1,3,0.3
RNF213,PML,0,3,0.3
GBP3,KCNMA1,0,3,0.3
USP18,ORM1,2,3,0.3
OAS3,TRIM6,0,3,0.3
CLTCL1,CLC,1,3,0.3
CHRNE,ANPEP,0,3,0.3
Metazoa_SRP,FBLN2,0,3,0.3
IGHM,RIGI,2,3,0.3
ADGRG3,ORM1,0,3,0.3
IGHM,OASL,2,3,0.3
LANCL3,CYP4F22,0,3,0.3
KCTD14,U3,0,3,0.3
PGLYRP1,DYSF,0,3,0.3
USP18,IGHM,2,3,0.3
NBL1,CSGALNACT1,1,3,0.3
ADAMTS14,ADAMDEC1,2,3,0.3
CXCL6,TRDC,2,3,0.3
AREG,SIK1,0,3,0.3
GLI1,CDKN1C,1,3,0.3
FLT1,TENM1,1,3,0.3
IL2RA,NBL1,0,3,0.3
CCR3,GBP3,0,3,0.3
CXCL6,RORA,2,3,0.3
TRPM2,MMP8,0,3,0.3
OAS3,EIF2AK2,0,3,0.3
DHX58,PML,0,3,0.3
MX1,MX2,0,3,0.3
OASL,OAS2,0,3,0.3
SIGLEC1,KCTD14,0,3,0.3
PRSS33,GLI1,0,3,0.3
ARHGEF10,BEX2,0,3,0.3
ZNF423,BMX,1,3,0.3
CSGALNACT1,MMP1,0,3,0.3
FAM167B,DDB1,1,3,0.3
HSH2D,TMPRSS2,0,3,0.3
RORA,MT-ND2,2,3,0.3
U3,FZD4,0,3,0.3
NBL1,S100A8,2,3,0.3
ARHGEF10,SIGLEC1,1,3,0.3
LEPR,BCL2L14,1,3,0.3
EIF2AK2,RNF213,0,3,0.3
USP18,Metazoa_SRP,2,3,0.3
RNF182,FAM167B,0,3,0.3
FAM185A,CTLA4,0,3,0.3
DDX60,MX2,0,3,0.3
CABLES2,KCTD14,1,3,0.3
SIK1,SPDYA,2,3,0.3
IFI6,DDX60,0,3,0.3
S100A12,MCEMP1,0,3,0.3
RORA,PRF1,1,3,0.3
SIGLEC1,FOSB,0,3,0.3
DDX60,PCDH1,0,3,0.3
IL18R1,RNU6-1188P,0,3,0.3
FAM216B,TMPRSS2,0,3,0.3
IFI44L,GZMB,0,3,0.3
DDX60,XAF1,0,3,0.3
NR6A1,FLT1,1,3,0.3
YES1,DLG5,1,3,0.3
OAS3,AHDC1,0,3,0.3
ZNF423,S100A12,1,3,0.3
IRF7,VNN1,1,3,0.3
LAPTM4B,FZD4,1,3,0.3
CST7,MMP9,0,3,0.3
CLC,FLT1,1,3,0.3
TRPM2,KCNH7,0,3,0.3
RORA,TENM1,1,3,0.3
IRF7,APOL6,0,3,0.3
ISG15,RSAD2,0,3,0.3
RORA,SPP1,2,3,0.3
CST7,MMP8,0,3,0.3
ARHGEF10,S100A9,2,3,0.3
HSH2D,TENM1,0,3,0.3
RNF213,VNN1,1,3,0.3
RIGI,PRF1,0,3,0.3
DSCC1,ZFPM2,0,3,0.3
RORA,GBP3,1,3,0.3
TRIM14,OAS3,0,3,0.3
ZFPM2,DSCC1,0,3,0.3
JCHAIN,GZMB,1,3,0.3
CXCL6,ZFPM2,2,3,0.3
LANCL3,S100A9,1,3,0.3
NBL1,CYP4F22,1,3,0.3
AHDC1,IL2RA,0,3,0.3
TP53I11,CXCL6,0,3,0.3
SPDYA,BEX2,1,3,0.3
ADGRG3,PGLYRP1,0,3,0.3
RNF213,SIGLEC1,0,3,0.3
OAS1,XAF1,0,3,0.3
RORA,LEPR,1,3,0.3
AREG,EREG,0,3,0.3
SLC16A1,FAM167B,2,3,0.3
ENTPD3,PGLYRP1,0,3,0.3
NTRK1,DSCC1,2,3,0.3
PLAU,NBL1,2,3,0.3
GPR15,ADAMDEC1,1,3,0.3
CDKN1C,ADAMDEC1,0,3,0.3
CCR3,ZFPM2,0,3,0.3
TRDC,CCR3,0,3,0.3
IL18RAP,VNN2,0,3,0.3
IFI44L,IFI6,0,3,0.3
TRDC,CLNK,1,3,0.3
RORA,NR6A1,1,3,0.3
ARHGEF10,AREG,2,3,0.3
S100A9,ORM1,0,3,0.3
OAS2,OASL,0,3,0.3
ZNF423,PRSS33,0,3,0.3
CCR4,DENND5B,0,3,0.3
GPR15,CABLES2,2,3,0.3
TMPRSS2,SIK1,0,3,0.3
NGFR,BCL2L14,2,3,0.3
CLC,SPP1,0,3,0.3
NR6A1,AHDC1,2,3,0.3
PGLYRP1,ADAMTS14,0,3,0.3
CLC,OAS1,2,3,0.3
OLFM4,FZD4,0,3,0.3
BCL2L14,APOL6,0,3,0.3
FGFBP2,TRIM6,2,3,0.3
EIF2AK2,TRIM6,0,3,0.3
ORM1,BMX,0,3,0.3
ATP9A,TRPM2,0,3,0.3
NBL1,CCR3,2,3,0.3
ARHGEF10,LYPD8,2,3,0.3
CLDN7,CCR4,0,3,0.3
AREG,EQTN,2,3,0.3
